Cuisine,Dish name,Dish,taste,temperature,spice level,sweet level,salt level,sour level,bitter level
American,nachos,Nachos,Salty,Cold,2,5.930232558139535,4.0,4.0,3.4444444444444446
Korean,jjajangmyeon,Jjajangmyeon,Spicy,Hot,5,5.930232558139535,3.6578947368421053,4.0,3.4444444444444446
Indian,vada pav,Vada Pav,Spicy,Hot,6,5.930232558139535,3.6578947368421053,4.0,3.4444444444444446
Indian,sev puri,Sev Puri,Spicy,Hot,5,5.930232558139535,3.6578947368421053,4.0,3.4444444444444446
Indian,khichdi,Khichdi,Salty,Hot,4,5.930232558139535,3.0,4.0,3.4444444444444446
Indian,mooti choor laddoo,Mooti choor laddoo,Sweet,Cold,1,9.0,3.6578947368421053,4.0,3.4444444444444446
Indian,kunda,Kunda,Sweet,Cold,1,8.0,3.6578947368421053,4.0,3.4444444444444446
Indian,pedha,Pedha,Sweet,Cold,1,8.0,3.6578947368421053,4.0,3.4444444444444446
Indian,biriyani ,Biriyani ,Spicy,Hot,6,5.930232558139535,3.6578947368421053,4.0,3.4444444444444446
American,hamburger,Hamburger,Salty,Hot,4,5.930232558139535,4.0,4.0,3.4444444444444446
Indian,pani puri,pani puri,Sour,Cold,6,5.930232558139535,4.0,6.0,3.4444444444444446
Indian,chicken biriyani,chicken biriyani,Spicy,Hot,7,5.930232558139535,3.6578947368421053,4.0,3.4444444444444446
Indian,gulab jamun,Gulab Jamun,Sweet,Hot,1,8.0,2.0,4.0,3.4444444444444446
Indian,payasam,Payasam,Sweet,Hot,2,7.0,2.0,4.0,3.4444444444444446
Indian,kesari,Kesari,Sweet,Hot,1,7.0,2.0,4.0,3.4444444444444446
Indian,halwa,Halwa,Sweet,Cold,1,9.0,1.0,4.0,3.4444444444444446
Indian,Khatta Dhokla,Khatta Dhokla,Sour,Hot,5,1.0,3.6578947368421053,7.0,3.4444444444444446
Indian,pithore kadhi,Pithore Kadhi,Sour,Hot,4,1.0,3.6578947368421053,8.0,3.4444444444444446
Indian,green garlic chutney,Green Garlic Chutney,Sour,Cold,7,5.930232558139535,3.6578947368421053,8.0,3.4444444444444446
Indian,bharwa karela,Bharwa Karela,Bitter,Hot,4,5.930232558139535,3.6578947368421053,4.0,9.0
Indian ,Methichi Usal,Methichi Usal,Bitter,Hot,7,5.930232558139535,3.6578947368421053,4.0,7.0
Indian,dried fish, dried fish,Salty,Hot,6,5.930232558139535,7.0,4.0,3.4444444444444446
Indian,papad,papad,Salty,Hot,6,5.930232558139535,6.0,4.0,3.4444444444444446
American,popcorn,popcorn,Salty,Hot,4,5.930232558139535,8.0,4.0,3.4444444444444446
